100000 200000
77262 77263 910209160
59326 59327 247201614
63825 63826 439516679
77159 77160 684644945
30320 30325 333362903
19746 19747 389464236
48661 48662 512072691
86924 86925 757466587
59542 59545 60631470
15592 15593 578227733
32683 32686 327381920
36082 36080 164074729
3116 3118 269381312
15687 15678 937907740
27496 27499 75383612
65716 65722 393030416
68586 68587 471529465
63961 63962 136636656
46036 46037 817865936
69004 68994 692987301
38217 38218 555628881
44861 44862 166398687
75481 75480 338334835
49458 49454 31969822
22482 22483 678796382
39371 39370 47073619
76933 76940 178208735
38502 38499 453864120
37364 37371 333505820
78254 78262 877373357
59360 59354 893263755
39662 39663 86572530
23626 23627 755875451
87985 87977 590200345
4619 4629 225256066
20086 20083 959985023
16421 16422 315440223
96299 96300 675514824
85511 85512 788438921
54068 54069 818795982
18155 18149 747714693
82047 82048 99171282
53902 53903 756494554
29163 29165 816916532
68860 68861 967494309
41962 41954 647564039
71202 71203 462541810
54144 54145 707910275
74127 74128 137864804
77953 77954 944802188
2158 2167 152361793
96460 96452 33017873
10289 10290 941140292
72225 72226 416513615
81974 81969 105253920
3206 3207 244054054
67608 67609 661528354
39890 39891 165215167
69235 69241 229480892
75296 75297 161534651
80428 80429 282979925
88041 88042 49509600
13630 13626 387984414
2697 2701 227317726
46069 46070 148482708
88849 88850 253304795
87061 87057 118696972
44033 44034 712916753
19774 19782 19762944
89030 89028 529389975
21314 21315 801211784
5761 5762 985228115
76217 76225 963801441
46806 46808 731161105
57007 57008 578142909
28313 28317 206679370
2005 2009 127414031
96966 96967 592541504
45282 45284 626266248
26625 26626 49921042
24543 24544 63066218
46959 46960 853529314
41333 41336 682483592
93807 93808 526041992
54594 54595 851125635
58489 58490 237776056
92914 92919 288974722
8484 8483 775440855
5117 5118 840221901
72446 72455 557730092
69871 69872 520491535
44633 44629 377111216
75634 75635 326510751
94079 94089 506555648
36130 36131 998779602
17946 17947 588014672
10121 10130 83027730
88877 88878 842183644
79053 79061 129426811
6533 6534 325205303
87837 87838 327746361
25805 25812 575729359
92824 92825 814703612
16255 16256 905968320
93834 93842 849192136
93346 93345 28618156
90877 90884 163727068
19540 19550 713969870
64100 64093 605745810
20828 20824 896744986
45159 45161 948507676
467 468 534488885
14760 14761 267061849
94688 94678 208520209
89266 89269 396598943
24522 24523 900056011
87232 87233 801658192
96844 96841 44888235
57477 57487 466249545
16126 16127 456397762
52197 52198 553957123
35709 35710 493507541
18916 18917 22721621
66933 66923 719496784
57400 57399 691004940
10627 10628 205602427
99847 99850 619930227
73145 73146 52527808
98220 98221 84114239
14580 14583 146263857
67285 67276 876833200
35747 35742 117674782
59433 59434 252602398
54959 54968 167527706
74030 74031 440294193
8463 8464 623303826
62753 62754 55192711
71917 71926 784160273
22187 22188 587928804
37732 37729 355806094
29470 29471 216410655
88 89 873462704
97414 97407 186362064
34557 34556 282885408
63566 63560 62943694
